RNC,Zone,Issue,Date,,,,
Q321000018-1,4,3,1,,,,
Q321000020-1,4,4,1,,,,
Q321000047-1,34,6,1,,,,
Q321000085-1,MTS,1,1,,,,
Q321000102-1,4,5,1,,,,
Q321000116-1,32,4,1,,,,
Q321000140-1,32,2,1,,,,
Q321000151-1,4,5,1,,,,
Q321000156-1,34,1,1,,,,
Q321000156-2,34,1,1,,,,Damage Holes while Joining
Q321000180-1,32,5,1,,,,
Q321000185-1,32,2,1,,,,
Q321000186-1,32,2,1,,,,
Q321000187-1,32,2,1,,,,
Q321000188-1,32,2,1,,,,
Q321000233-1,34,1,1,,,,
Q321000233-2,34,3,1,,,,
Q321000233-3,34,3,1,,,,
Q321000243-1,33,2,1,,,,
Q321000262-1,34,1,1,,,,
Q321000262-2,34,3,1,,,,
Q321000281-1,34,4,1,,,,
Q321000316-1,31,2,1,,,,
Q321000341-1,34,1,1,,,,
Q321000341-2,34,4,1,,,,
Q321000341-3,34,1,1,,,,
Q321000359-1,4,2,1,,,,
Q321000364-1,4,1,1,,,,
Q321000395-1,34,5,1,,,,
Q321000414-1,MTS,2,1,,,,
Q321000415-1,MTS,2,1,,,,
Q321000431-1,34,3,1,,,,
Q321000434-1,MTS,1,1,,,,
Q321000435-1,2,1,1,,,,
Q321000459-1,2,1,1,,,,
Q321000473-1,MTS,3,1,,,,
Q321000474-1,MTS,3,1,,,,
Q321000524-1,33,1,1,,,,
Q321000524-2,33,1,1,,,,
Q321000524-4,33,7,1,,,,
Q321000524-5,33,2,1,,,,
Q321000632-1,34,3,1,,,,
Q321000650-1,4,5,1,,,,
Q321000663-1,33,4,1,,,,
Q321000663-2,33,4,1,,,,
Q321000667-1,34,3,1,,,,
Q321000692-2,34,1,1,,,,
Q321000712-1,MTS,1,1,,,,
Q321000717-1,34,3,1,,,,
Q321000725-1,34,3,1,,,,
Q321000726-1,34,3,1,,,,
Q321000729-1,34,3,1,,,,
Q321000732-1,34,4,1,,,,
Q321000737-1,34,2,1,,,,
Q321000737-2,34,2,1,,,,
Q321000737-3,34,2,1,,,,
Q321000737-4,34,2,1,,,,
Q321000737-5,34,2,1,,,,
Q321000737-6,34,2,1,,,,
Q321000737-7,34,2,1,,,,
Q321000742-2,33,7,1,,,,
Q321000754-1,34,4,1,,,,
Q321000754-2,34,3,1,,,,
Q321000767-1,34,7,1,,,,
Q321000767-2,34,3,1,,,,
Q321000767-3,34,3,1,,,,
Q321000776-1,4,4,1,,,,
Q321000788-1,34,7,1,,,,
Q321000788-2,34,7,1,,,,
Q321000788-4,34,3,1,,,,
Q321000796-1,4,3,1,,,,
Q321000805-1,33,4,1,,,,
Q321000805-2,33,4,1,,,,
Q321000806-1,1,1,1,,,,
Q321000814-1,34,5,1,,,,
Q321000845-1,34,6,1,,,,
