"","Issue","top_word"
"1",5,"6700"
"2",5,"rivet"
"3",5,"panel"
"4",5,"close"
"5",5,"9095"
"6",5,"6746"
"7",5,"6749"
"8",2,"lead"
"9",2,"8042"
"10",2,"plate"
"11",2,"8040"
"12",3,"ga452"
"13",3,"0057"
"14",3,"accept"
"15",3,"bap"
"16",3,"create"
"17",3,"interference"
"18",3,"8039"
"19",3,"q321005621"
"20",3,"q321005743"
"21",1,"6800"
"22",1,"measure"
"23",1,"step"
"24",1,"gap"
"25",1,"door"
"26",1,"6775"
"27",1,"6751"
"28",1,"tolerance"
"29",1,"1x02"
"30",1,"8004"
"31",1,"8001"
"32",1,"1x01"
"33",1,"8003"
"34",1,"measurement"
"35",1,"inch"
"36",1,"gaps"
"37",1,"mismatch"
"38",1,"latch"
"39",1,"fit"
"40",1,"tension"
"41",2,"damage"
"42",1,"q321003039"
"43",4,"discrepancy"
"44",4,"catia"
"45",4,"installation"
"46",4,"fs1081"
"47",4,"6834"
"48",4,"6817"
"49",4,"dril"
"50",4,"locate"
"51",4,"contact"
"52",4,"jig"
"53",4,"distortion"
"54",4,"hoist"
"55",4,"beam"
"56",4,"6927"
"57",4,"6974"
"58",4,"draw"
"59",4,"position"
"60",4,"6833"
"61",4,"6931"
"62",4,"fitting"
"63",4,"support"
"64",4,"6930"
"65",3,"foul"
"66",4,"aircraft"
"67",4,"pilot"
"68",2,"cr3524ppr5"
"69",2,"tool"
"70",2,"spot"
"71",2,"shear"
"72",2,"rear"
"73",2,"6950"
"74",2,"distance"
"75",2,"adjacent"
"76",2,"width"
"77",2,"depth"
"78",2,"q321011203"
"79",1,"laser"
"80",1,"set"
"81",3,"q321006835"
"82",5,"q321011311"
"83",4,"q321011041"
"84",3,"clean"
"85",1,"rework"
"86",1,"q321004655"
"87",1,"relocate"
"88",1,"effectiveness"
"89",1,"60059"
"90",1,"60051"
"91",1,"adjust"
"92",1,"excess"
