"RNC","word","lemma","upos"
"Q321008166-1","g05291600","g05291600","NUM"
"Q321008166-1","instl","instl","NOUN"
"Q321008166-1","cargo","cargo","NOUN"
"Q321008166-1","access","access","NOUN"
"Q321008166-1","zones","zones","NOUN"
"Q321008166-1","clamps","clamp","NOUN"
"Q321008166-1","installed","install","VERB"
"Q321008166-1","drawing","drawing","NOUN"
"Q321008166-1","installation","installation","NOUN"
"Q321008166-1","time","time","NOUN"
"Q321008166-1","screwing","screw","VERB"
"Q321008166-1","production","production","NOUN"
"Q321008166-1","team","team","NOUN"
"Q321008166-1","clamp","clamp","NOUN"
"Q321008166-1","ms21919wde5","ms21919wde5","NOUN"
"Q321008166-1","drawing","draw","NOUN"
"Q321008166-1","ms21919wde3","ms21919wde3","NUM"
"Q321008166-1","ms21919wde5","ms21919wde5","NUM"
"Q321008166-1","reference","reference","NOUN"
"Q321008166-1","q321007254","q321007254","NUM"
"Q321008166-1","attachements","attachement","NOUN"
"Q321008166-1","details","detail","NOUN"
"Q321008260-1","location","location","NOUN"
"Q321008260-1","aircraft","aircraft","NOUN"
"Q321008260-1","stgr","stgr","NOUN"
"Q321008260-1","door","door","NOUN"
"Q321008260-1","assy","assy","NOUN"
"Q321008260-1","cargo","cargo","NOUN"
"Q321008260-1","access","access","NOUN"
"Q321008260-1","torque","torque","NOUN"
"Q321008260-1","noted","note","VERB"
"Q321008260-1","proximity","proximity","NOUN"
"Q321008260-1","switch","switch","NOUN"
"Q321008260-1","angle","angle","NOUN"
"Q321008260-1","condition","condition","NOUN"
"Q321008260-1","baps","bap","NOUN"
"Q321008260-1","installation","installation","NOUN"
"Q321008260-1","safetying","safetying","VERB"
"Q321008260-1","devices","device","NOUN"
"Q321008260-1","humiseal","humiseal","NOUN"
"Q321008260-1","touch","touch","VERB"
"Q321008260-1","operation","operation","NOUN"
"Q321008260-1","omitted","omit","VERB"
"Q321008260-1","gx79037","gx79037","NUM"
"Q321008260-1","refer","refer","VERB"
"Q321008260-1","details","detail","NOUN"
"Q321008277-1","location","location","NOUN"
"Q321008277-1","aircraft","aircraft","NOUN"
"Q321008277-1","stgr","stgr","NOUN"
"Q321008277-1","door","door","NOUN"
"Q321008277-1","assy","assy","NOUN"
"Q321008277-1","cargo","cargo","NOUN"
"Q321008277-1","access","access","NOUN"
"Q321008277-1","torque","torque","NOUN"
"Q321008277-1","noted","note","VERB"
"Q321008277-1","proximity","proximity","NOUN"
"Q321008277-1","switch","switch","NOUN"
"Q321008277-1","angle","angle","NOUN"
"Q321008277-1","condition","condition","NOUN"
"Q321008277-1","baps","bap","NOUN"
"Q321008277-1","installation","installation","NOUN"
"Q321008277-1","safetying","safetying","VERB"
"Q321008277-1","devices","device","NOUN"
"Q321008277-1","humiseal","humiseal","NOUN"
"Q321008277-1","touch","touch","VERB"
"Q321008277-1","operation","operation","NOUN"
"Q321008277-1","omitted","omit","VERB"
"Q321008277-1","gx79037","gx79037","NUM"
"Q321008277-1","refer","refer","VERB"
"Q321008277-1","details","detail","NOUN"
"Q321008279-1","location","location","NOUN"
"Q321008279-1","aircraft","aircraft","NOUN"
