"RNC","word","lemma","upos"
"Q321008204-1","location","location","NOUN"
"Q321008204-1","assy","assy","NOUN"
"Q321008204-1","g05530099","g05530099","NUM"
"Q321008204-1","access","access","NOUN"
"Q321008204-1","panels","panel","NOUN"
"Q321008204-1","flushness","flushness","NOUN"
"Q321008204-1","tolerance","tolerance","NOUN"
"Q321008204-1","condition","condition","NOUN"
"Q321008204-1","g00606301","g00606301","NUM"
"Q321008204-1","depth","depth","NOUN"
"Q321008204-1","affected","affect","VERB"
"Q321008204-1","description","description","NOUN"
"Q321008204-1","g05530575","g05530575","NUM"
"Q321008204-1","panel","panel","NOUN"
"Q321008204-1","vstab","vstab","NOUN"
"Q321008204-1","lbl7","lbl7","NUM"
"Q321008204-1","fs1114","fs1114","NUM"
"Q321008204-1","lbl8","lbl8","NUM"
"Q321008204-1","g05530572","g05530572","NUM"
"Q321008204-1","wo0002593","wo0002593","NUM"
"Q321008204-1","fs1146","fs1146","NUM"
"Q321008204-1","g05530566","g05530566","NUM"
"Q321008204-1","fs1209","fs1209","NUM"
"Q321008204-1","wl233","wl233","NUM"
"Q321008204-1","lbl6","lbl6","NUM"
"Q321008204-1","g05530594","g05530594","NUM"
"Q321008204-1","vstab","vstab","NUM"
"Q321008204-1","5386827","5386827","NUM"
"Q321008204-1","fs1162","fs1162","NUM"
"Q321008204-1","g05530583","g05530583","NUM"
"Q321008204-1","k5077","k5077","NUM"
"Q321008204-1","fs1169","fs1169","NUM"
"Q321008204-1","wl220","wl220","NOUN"
"Q321008204-1","rbl7","rbl7","NUM"
"Q321008204-1","g05530579","g05530579","NUM"
"Q321008204-1","108780","108780","NUM"
"Q321008204-1","fs1172","fs1172","NUM"
"Q321008204-1","wl192","wl192","NUM"
"Q321008204-1","g05530569","g05530569","NUM"
"Q321008204-1","wo000365811","wo000365811","NUM"
"Q321008204-1","fs1198","fs1198","NUM"
"Q321008204-1","wl221","wl221","NOUN"
"Q321008204-1","note","note","NOUN"
"Q321008204-1","refer","refer","VERB"
"Q321008204-1","q321002552","q321002552","NOUN"
"Q321008204-1","details","detail","NOUN"
"Q321008306-1","location","location","NOUN"
"Q321008306-1","aircraft","aircraft","NOUN"
"Q321008306-1","1031","1031","NUM"
"Q321008306-1","stgr","stgr","NOUN"
"Q321008306-1","clearance","clearance","NOUN"
"Q321008306-1","contened","conten","VERB"
"Q321008306-1","noted","note","VERB"
"Q321008306-1","g05363514","g05363514","NUM"
"Q321008306-1","frame","frame","NOUN"
"Q321008306-1","mount","mount","NOUN"
"Q321008306-1","harness","harness","NOUN"
"Q321008306-1","fuse","fuse","NOUN"
"Q321008306-1","condition","condition","NOUN"
"Q321008306-1","0.530","0.530","NUM"
"Q321008306-1","standoff","standoff","NOUN"
"Q321008306-1","installed","install","VERB"
"Q321008306-1","baps","bap","NOUN"
"Q321008306-1","section","section","NOUN"
